episode,loss,rewards,adv
0,0.39,35.00, 29.6067
1,0.11,18.00, 16.4918
2,0.37,34.00, 28.8949
3,0.35,33.00, 28.1730
4,0.04,10.00, 9.5082
5,0.19,24.00, 21.3769
6,0.21,25.00, 22.1578
7,0.17,23.00, 20.5802
8,0.09,16.00, 14.7908
9,0.45,38.00, 31.6833
10,0.12,19.00, 17.3159
11,0.29,30.00, 25.9669
12,0.08,15.00, 13.9274
13,0.22,26.00, 22.9349
14,0.35,33.00, 28.1586
15,0.12,19.00, 17.3128
16,0.16,22.00, 19.7689
17,0.17,23.00, 20.5683
18,0.07,14.00, 13.0497
19,0.24,27.00, 23.6892
20,0.16,22.00, 19.7603
21,0.34,33.00, 28.1472
22,0.45,38.00, 31.6634
23,0.13,20.00, 18.1284
24,0.29,30.00, 25.9455
25,0.05,12.00, 11.2820
26,0.11,18.00, 16.4626
27,1.03,60.00, 45.2035
28,0.06,13.00, 12.1625
29,0.53,42.00, 34.3413
30,0.08,15.00, 13.9071
31,0.99,59.00, 44.6446
32,0.47,39.00, 32.3358
33,0.09,16.00, 14.7578
34,0.15,21.00, 18.9302
35,0.05,12.00, 11.2676
36,1.17,65.00, 47.8685
37,0.65,47.00, 37.5506
38,0.07,14.00, 13.0295
39,0.46,39.00, 32.3236
40,0.17,23.00, 20.5369
41,0.06,13.00, 12.1465
42,0.06,12.00, 11.2591
43,0.04,10.00, 9.4594
44,0.14,20.00, 18.1023
45,0.21,26.00, 22.8911
46,0.06,12.00, 11.2505
47,0.20,25.00, 22.1062
48,1.13,64.00, 47.3282
49,0.09,16.00, 14.7397
50,0.67,48.00, 38.1590
51,0.30,31.00, 26.6542
52,0.07,14.00, 13.0069
53,0.08,15.00, 13.8726
54,0.05,11.00, 10.3445
55,0.25,28.00, 24.4070
56,0.19,24.00, 21.3125
57,0.09,16.00, 14.7331
58,0.55,43.00, 34.9681
59,0.16,22.00, 19.7129
60,0.11,18.00, 16.4235
61,0.40,36.00, 30.2352
62,0.85,55.00, 42.3344
63,0.15,21.00, 18.8962
64,1.06,62.00, 46.2430
65,0.08,15.00, 13.8618
66,0.49,40.00, 32.9707
67,0.31,32.00, 27.3694
68,0.12,19.00, 17.2501
69,0.09,16.00, 14.7133
70,0.92,58.00, 44.0334
71,0.70,50.00, 39.3627
72,0.28,30.00, 25.8888
73,0.20,25.00, 22.0787
74,0.17,23.00, 20.4965
75,0.10,17.00, 15.5608
76,0.28,30.00, 25.8844
77,1.23,67.00, 48.8545
78,0.37,35.00, 29.5045
79,0.13,20.00, 18.0556
80,0.13,20.00, 18.0563
81,0.33,33.00, 28.0747
82,0.17,23.00, 20.4853
83,0.17,23.00, 20.4807
84,0.45,39.00, 32.2701
85,2.01,90.00, 59.3682
86,0.05,12.00, 11.2020
87,1.29,70.00, 50.3527
88,0.25,28.00, 24.3639
89,0.17,23.00, 20.4726
90,0.24,28.00, 24.3590
91,0.15,22.00, 19.6690
92,0.08,15.00, 13.8228
93,0.08,15.00, 13.8225
94,1.56,79.00, 54.6250
95,0.30,32.00, 27.3254
96,0.26,29.00, 25.1050
97,0.30,31.00, 26.5935
98,0.20,26.00, 22.8162
99,0.15,20.00, 18.0290
100,0.10,17.00, 15.5254
101,0.49,41.00, 33.5908
102,0.11,17.00, 15.5226
103,0.65,48.00, 38.0894
104,0.29,31.00, 26.5817
105,0.36,35.00, 29.4664
106,0.37,36.00, 30.1681
107,0.33,33.00, 28.0360
108,0.04,9.00, 8.4565
109,0.44,39.00, 32.2322
110,0.09,16.00, 14.6578
111,0.31,32.00, 27.3069
112,0.10,17.00, 15.5080
113,0.90,58.00, 43.9738
114,0.88,58.00, 43.9731
115,0.15,22.00, 19.6348
116,0.78,53.00, 41.0947
117,0.87,57.00, 43.4050
118,0.32,33.00, 28.0212
119,1.57,79.00, 54.5862
120,1.08,65.00, 47.7571
121,0.07,14.00, 12.9121
122,0.57,46.00, 36.8035
123,0.16,22.00, 19.6235
124,5.70,170.00, 81.6682
125,0.79,55.00, 42.2481
126,1.08,66.00, 48.2665
127,0.17,24.00, 21.2101
128,0.26,30.00, 25.8071
129,0.95,59.00, 44.5051
130,3.74,133.00, 73.4997
131,0.13,19.00, 17.1512
132,0.07,14.00, 12.8916
133,1.24,67.00, 48.7699
134,0.99,62.00, 46.1370
135,0.93,59.00, 44.4934
136,1.42,76.00, 53.1739
137,1.13,66.00, 48.2464
138,0.31,33.00, 27.9828
139,2.38,104.00, 64.5945
140,0.60,48.00, 38.0201
141,2.35,102.00, 63.8781
142,0.32,34.00, 28.6903
143,3.69,131.00, 72.9441
144,1.68,84.00, 56.7574
145,0.28,31.00, 26.5111
146,0.45,40.00, 32.8444
147,0.15,21.00, 18.7663
148,1.52,78.00, 54.0757
149,0.58,47.00, 37.3834
150,0.61,48.00, 38.0030
151,2.18,100.00, 63.1291
152,0.27,30.00, 25.7568
153,0.82,56.00, 42.7621
154,3.92,138.00, 74.7460
155,2.91,116.00, 68.5559
156,4.79,160.00, 79.6891
157,0.98,63.00, 46.6289
158,3.15,122.00, 70.3739
159,3.94,138.00, 74.7295
160,2.90,115.00, 68.2303
161,0.36,35.00, 29.3649
162,3.37,129.00, 72.3571
163,0.84,57.00, 43.3105
164,1.03,64.00, 47.1423
165,1.98,96.00, 61.5920
166,2.58,107.00, 65.5800
167,0.24,29.00, 24.9739
168,9.84,253.00, 91.8240
169,5.57,179.00, 83.1418
170,0.20,26.00, 22.6804
171,2.10,96.00, 61.5790
172,7.93,221.00, 88.8325
173,9.88,258.00, 92.2009
174,6.76,202.00, 86.5479
175,4.64,153.00, 78.1886
176,8.45,233.00, 90.0587
177,6.26,191.00, 85.0047
178,3.52,135.00, 73.9211
179,4.88,166.00, 80.8079
180,2.60,110.00, 66.5508
181,1.79,86.00, 57.5267
182,3.45,138.00, 74.6726
183,5.59,180.00, 83.2746
184,11.71,289.00, 94.1729
185,1.14,68.00, 49.1564
186,2.64,113.00, 67.5236
187,0.65,52.00, 40.3395
188,3.45,132.00, 73.1006
189,0.32,34.00, 28.5790
190,1.12,67.00, 48.6351
191,3.60,133.00, 73.3615
192,0.25,29.00, 24.9048
193,1.11,70.00, 50.1441
194,4.00,150.00, 77.4774
195,4.71,154.00, 78.3498
196,2.52,104.00, 64.4522
197,1.90,97.00, 61.8931
198,4.29,155.00, 78.5554
199,3.74,137.00, 74.3730
200,3.78,140.00, 75.1186
201,4.65,161.00, 79.7774
202,6.00,189.00, 84.6417
203,5.30,180.00, 83.2213
204,2.47,110.00, 66.4958
205,1.41,80.00, 54.8418
206,13.57,331.00, 95.9930
207,9.91,264.00, 92.5473
208,3.37,129.00, 72.2419
209,2.84,118.00, 69.0387
210,8.56,246.00, 91.1450
211,4.35,153.00, 78.0928
212,7.41,215.00, 88.0503
213,6.91,217.00, 88.2729
214,4.15,153.00, 78.0795
215,4.81,166.00, 80.7111
216,5.51,189.00, 84.6047
217,6.25,200.00, 86.1624
218,1.50,83.00, 56.1318
219,4.73,169.00, 81.2564
220,0.81,62.00, 45.9225
221,3.16,130.00, 72.4726
222,3.28,130.00, 72.4745
223,6.23,193.00, 85.1666
224,6.37,203.00, 86.5398
225,8.25,243.00, 90.8414
226,3.85,144.00, 76.0142
227,3.76,148.00, 76.9382
228,6.06,201.00, 86.2597
229,11.05,287.00, 93.9375
230,4.99,173.00, 81.9452
231,4.02,139.00, 74.7848
232,7.97,227.00, 89.2949
233,11.90,317.00, 95.3855
234,9.85,266.00, 92.6096
235,32.69,678.00, 99.4020
236,9.33,250.00, 91.3955
237,5.73,181.00, 83.2831
238,6.33,188.00, 84.3804
239,31.60,648.00, 99.3490
240,5.80,190.00, 84.6790
241,2.74,114.00, 67.6883
242,11.07,286.00, 93.8361
243,15.55,369.00, 97.0335
244,3.26,122.00, 70.1383
245,4.91,164.00, 80.2288
246,3.46,136.00, 73.9823
247,3.05,125.00, 70.9993
248,2.13,99.00, 62.4899
249,1.43,78.00, 53.7952
250,2.43,107.00, 65.3474
251,14.05,342.00, 96.2388
252,6.24,197.00, 85.6380
253,9.05,246.00, 91.0049
254,6.86,202.00, 86.3096
255,0.38,39.00, 31.8657
256,0.31,34.00, 28.3833
257,10.38,271.00, 92.8765
258,0.79,56.00, 42.4767
259,0.19,26.00, 22.4287
260,0.63,46.00, 36.4517
261,0.92,60.00, 44.7089
262,2.51,111.00, 66.6542
263,5.56,177.00, 82.5406
264,0.92,61.00, 45.2506
265,5.31,174.00, 82.0201
266,6.53,197.00, 85.6060
267,2.09,101.00, 63.1786
268,9.44,248.00, 91.1367
269,8.04,232.00, 89.6847
270,1.55,84.00, 56.4072
271,1.47,81.00, 55.0914
272,1.96,95.00, 60.9125
273,0.42,41.00, 33.1669
274,9.24,255.00, 91.6885
275,8.18,234.00, 89.8693
276,2.14,103.00, 63.8717
277,6.86,206.00, 86.7740
278,2.47,107.00, 65.2712
279,3.95,144.00, 75.8600
280,2.36,104.00, 64.2207
281,10.01,268.00, 92.6119
282,4.00,143.00, 75.6115
283,9.29,259.00, 91.9671
284,9.86,266.00, 92.4632
285,6.10,195.00, 85.2758
286,5.97,187.00, 84.0909
287,1.90,91.00, 59.2864
288,6.64,207.00, 86.8648
289,7.81,230.00, 89.4464
290,4.90,168.00, 80.8664
291,5.99,192.00, 84.8241
292,7.01,212.00, 87.4681
293,7.74,226.00, 89.0293
294,3.53,128.00, 71.7063
295,6.24,197.00, 85.5218
296,7.07,218.00, 88.1511
297,0.63,49.00, 38.2149
298,8.20,241.00, 90.4543
299,2.34,109.00, 65.8823
300,9.44,259.00, 91.9180
301,8.62,251.00, 91.2888
302,10.39,279.00, 93.2443
303,5.86,188.00, 84.1894
304,10.61,282.00, 93.4287
305,8.05,230.00, 89.3883
306,6.80,205.00, 86.5650
307,9.40,255.00, 91.5816
308,11.68,307.00, 94.7150
309,16.45,392.00, 97.3316
310,12.10,313.00, 94.9864
311,22.61,493.00, 98.5711
312,20.18,475.00, 98.4258
313,24.38,539.00, 98.8244
314,2.09,99.00, 62.2908
315,59.80,1181.00, 99.2556
316,12.30,317.00, 95.1265
317,19.64,468.00, 98.3494
318,22.58,517.00, 98.6971
319,19.53,457.00, 98.2433
320,12.04,304.00, 94.5300
321,4.36,157.00, 78.6113
322,5.47,178.00, 82.5311
323,4.03,155.00, 78.1755
324,3.68,150.00, 77.0824
325,5.04,179.00, 82.6744
326,5.72,182.00, 83.1652
327,6.44,207.00, 86.7278
328,4.76,177.00, 82.3335
329,2.89,133.00, 72.9314
330,3.75,144.00, 75.6881
331,3.64,141.00, 74.9539
332,2.91,129.00, 71.8569
333,5.09,169.00, 80.8966
334,7.81,235.00, 89.7653
335,0.33,38.00, 30.9326
336,3.20,131.00, 72.3772
337,8.40,246.00, 90.7481
338,3.59,143.00, 75.4091
339,4.06,156.00, 78.3260
340,4.43,158.00, 78.7374
341,4.42,173.00, 81.6014
342,6.32,205.00, 86.4084
343,3.39,137.00, 73.9172
344,3.34,139.00, 74.4177
345,3.12,134.00, 73.1493
346,4.40,161.00, 79.3287
347,3.13,135.00, 73.3984
348,4.67,162.00, 79.5155
349,2.89,127.00, 71.2306
350,3.46,136.00, 73.6566
351,4.48,160.00, 79.1037
352,5.12,177.00, 82.2516
353,3.37,137.00, 73.8907
354,3.18,139.00, 74.3827
355,3.60,144.00, 75.5954
356,2.66,112.00, 66.6667
357,3.06,130.00, 72.0349
358,8.57,247.00, 90.7523
359,4.36,159.00, 78.8678
360,2.21,109.00, 65.6669
361,3.19,131.00, 72.2788
362,3.98,157.00, 78.4611
363,4.58,165.00, 80.0513
364,3.72,149.00, 76.7120
365,3.95,155.00, 78.0185
366,5.14,182.00, 83.0212
367,5.81,186.00, 83.6655
368,4.56,162.00, 79.4418
369,10.91,291.00, 93.6999
370,6.99,216.00, 87.6549
371,4.87,171.00, 81.1268
372,7.98,239.00, 90.0061
373,5.60,190.00, 84.2491
374,3.51,139.00, 74.3119
375,8.53,252.00, 91.1079
376,10.07,283.00, 93.2205
377,4.04,157.00, 78.3926
378,14.43,372.00, 96.6582
379,5.72,189.00, 84.0629
380,11.08,288.00, 93.4915
381,10.19,287.00, 93.4285
382,20.43,464.00, 98.0851
383,3.98,152.00, 77.3104
384,10.87,294.00, 93.8048
385,8.33,245.00, 90.4775
386,8.74,256.00, 91.3724
387,15.99,397.00, 97.1449
388,12.16,325.00, 95.1771
389,9.88,277.00, 92.8170
390,12.92,340.00, 95.6897
391,5.72,193.00, 84.6097
392,20.12,469.00, 98.0730
393,5.60,188.00, 83.8467
394,11.92,324.00, 95.1145
395,7.63,234.00, 89.4388
396,5.93,190.00, 84.1473
397,7.16,226.00, 88.6446
398,7.46,227.00, 88.7366
399,19.82,459.00, 97.9373
400,20.58,484.00, 98.1553
401,4.12,151.00, 77.0094
402,9.65,279.00, 92.8614
403,8.70,251.00, 90.8864
404,6.55,216.00, 87.5091
405,8.37,248.00, 90.6308
406,8.31,251.00, 90.8736
407,11.95,314.00, 94.6369
408,14.38,373.00, 96.5369
409,11.76,318.00, 94.7877
410,8.61,254.00, 91.0846
411,7.71,231.00, 89.0760
412,21.89,512.00, 98.2857
413,13.39,342.00, 95.6489
414,9.46,269.00, 92.1723
415,22.54,505.00, 98.2225
416,8.19,247.00, 90.4858
417,16.00,392.00, 96.8904
418,17.47,443.00, 97.6874
419,12.67,332.00, 95.2903
420,35.27,768.00, 98.7869
421,6.83,220.00, 87.8620
422,15.62,394.00, 96.9184
423,80.99,1600.00, 98.8046
424,26.14,591.00, 98.5438
425,11.71,311.00, 94.4004
426,42.51,907.00, 98.7786
427,13.74,351.00, 95.8500
428,37.34,795.00, 98.7483
429,24.12,549.00, 98.3562
430,25.93,589.00, 98.4995
431,17.04,428.00, 97.4169
432,9.30,265.00, 91.7828
433,9.47,270.00, 92.1126
434,6.58,204.00, 85.8583
435,7.50,233.00, 89.1169
436,8.31,251.00, 90.7071
437,9.43,278.00, 92.6118
438,8.66,261.00, 91.4768
439,8.40,247.00, 90.3604
440,6.81,217.00, 87.3974
441,7.37,224.00, 88.1849
442,7.42,243.00, 89.9990
443,7.62,237.00, 89.4566
444,6.19,206.00, 86.0629
445,5.50,194.00, 84.4514
446,0.51,46.00, 35.6933
447,5.09,177.00, 81.7755
448,6.21,208.00, 86.2812
449,6.96,221.00, 87.7950
450,7.16,230.00, 88.7459
451,6.75,211.00, 86.6433
452,6.15,203.00, 85.6452
453,6.42,215.00, 87.1208
454,4.49,177.00, 81.7524
455,6.31,204.00, 85.7485
456,7.86,231.00, 88.8347
457,6.17,200.00, 85.2174
458,7.59,234.00, 89.1190
459,5.68,198.00, 84.9365
460,5.32,181.00, 82.4009
461,5.89,201.00, 85.3458
462,7.37,230.00, 88.6787
463,6.75,224.00, 88.0782
464,9.22,259.00, 91.1759
465,10.55,304.00, 93.8889
466,5.55,191.00, 83.9038
467,8.74,249.00, 90.3756
468,8.78,252.00, 90.6288
469,8.03,243.00, 89.8608
470,7.26,226.00, 88.2326
471,2.39,113.00, 66.4314
472,6.29,200.00, 85.1303
473,10.35,291.00, 93.1664
474,7.97,234.00, 89.0319
475,8.01,242.00, 89.7466
476,13.41,344.00, 95.3857
477,8.51,256.00, 90.8849
478,6.92,223.00, 87.8865
479,1.38,81.00, 54.2197
480,8.08,240.00, 89.5587
481,12.88,335.00, 95.0616
482,11.25,305.00, 93.8367
483,8.68,255.00, 90.7903
484,8.56,260.00, 91.1291
485,12.58,340.00, 95.2105
486,10.35,287.00, 92.8797
487,11.21,308.00, 93.9319
488,14.96,380.00, 96.2426
489,9.37,270.00, 91.8153
490,11.02,306.00, 93.8399
491,20.94,474.00, 97.5819
492,8.31,249.00, 90.2342
493,11.95,328.00, 94.7076
494,10.08,278.00, 92.2818
495,20.60,496.00, 97.7176
496,14.61,371.00, 96.0231
497,18.32,439.00, 97.2002
498,36.38,762.00, 98.3541
499,30.68,661.00, 98.2734
500,10.99,298.00, 93.3807
501,13.83,362.00, 95.7581
502,29.11,641.00, 98.1866
503,45.77,977.00, 98.3463
504,28.19,638.00, 98.1739
505,17.27,436.00, 97.1015
506,39.42,832.00, 98.3375
507,10.50,278.00, 92.2108
508,93.70,1857.00, 98.3115
509,32.29,698.00, 98.2391
510,9.72,272.00, 91.8125
511,7.89,244.00, 89.6701
512,46.19,954.00, 98.3052
513,21.60,520.00, 97.7568
514,31.55,674.00, 98.1436
515,70.53,1419.00, 98.2699
516,40.27,829.00, 98.2461
517,64.69,1302.00, 98.2614
518,49.24,1026.00, 98.2429
519,115.73,2237.00, 98.2203
